departed,travel_time
4641.0,71.0
4579.0,135.0
4626.0,88.0
4657.0,60.0
4672.0,48.0
4688.0,50.0
4424.0,315.0
4703.0,49.0
4719.0,46.0
4734.0,140.0
4765.0,129.0
4781.0,113.0
4750.0,147.0
4796.0,104.0
4812.0,93.0
4595.0,322.0
4998.0,74.0
4951.0,122.0
4967.0,107.0
4936.0,141.0
4983.0,95.0
5014.0,66.0
5029.0,52.0
5045.0,53.0
4827.0,275.0
4843.0,263.0
4858.0,252.0
5060.0,53.0
4874.0,242.0
5076.0,51.0
5091.0,144.0
5138.0,114.0
5122.0,133.0
5153.0,104.0
5184.0,75.0
5107.0,153.0
5169.0,93.0
5215.0,47.0
5200.0,65.0
4889.0,388.0
4905.0,377.0
4920.0,366.0
5231.0,59.0
5246.0,52.0
5262.0,41.0
5277.0,140.0
5339.0,93.0
5324.0,111.0
5308.0,130.0
5355.0,85.0
5370.0,71.0
5386.0,55.0
5401.0,51.0
5293.0,167.0
5417.0,45.0
5433.0,46.0
5464.0,130.0
5448.0,149.0
5510.0,99.0
5479.0,133.0
5526.0,86.0
5495.0,120.0
5541.0,80.0
5557.0,66.0
5572.0,51.0
5603.0,53.0
5619.0,55.0
5696.0,94.0
5712.0,83.0
5681.0,116.0
5727.0,74.0
5743.0,61.0
5758.0,48.0
5774.0,41.0
5588.0,228.0
5634.0,187.0
5650.0,176.0
5665.0,166.0
5789.0,47.0
5805.0,45.0
5820.0,136.0
5867.0,104.0
5851.0,121.0
5898.0,77.0
5836.0,141.0
5882.0,95.0
5914.0,71.0
5929.0,57.0
5945.0,43.0
5960.0,47.0
5976.0,51.0
5991.0,143.0
6007.0,127.0
6022.0,129.0
6053.0,102.0
6084.0,74.0
6100.0,59.0
6115.0,57.0
6146.0,50.0
6177.0,143.0
6239.0,90.0
6224.0,111.0
6255.0,80.0
6270.0,67.0
6286.0,51.0
6301.0,49.0
6038.0,320.0
6069.0,293.0
6317.0,47.0
6131.0,237.0
6162.0,212.0
6332.0,44.0
6348.0,149.0
6379.0,132.0
6395.0,118.0
6410.0,106.0
6426.0,93.0
6364.0,156.0
6441.0,81.0
6457.0,65.0
6472.0,52.0
6193.0,344.0
6488.0,49.0
6208.0,335.0
6503.0,48.0
6519.0,43.0
6534.0,141.0
6565.0,130.0
6581.0,118.0
6612.0,88.0
6658.0,53.0
6689.0,51.0
6767.0,104.0
6814.0,60.0
6798.0,77.0
6782.0,95.0
6829.0,54.0
6845.0,43.0
6596.0,304.0
6627.0,276.0
6643.0,267.0
6674.0,241.0
6860.0,62.0
6876.0,54.0
6891.0,145.0
6907.0,129.0
6922.0,131.0
6938.0,115.0
6953.0,100.0
6969.0,88.0
6984.0,73.0
7000.0,61.0
7015.0,53.0
7031.0,41.0
6705.0,373.0
6720.0,361.0
7046.0,41.0
6736.0,354.0
6751.0,344.0
7062.0,47.0
7077.0,141.0
7124.0,107.0
7093.0,139.0
7139.0,93.0
7108.0,127.0
7170.0,65.0
7155.0,83.0
7186.0,54.0
7201.0,50.0
7201.0,57.0
7222.0,45.0
7243.0,42.0
7325.0,87.0
7345.0,67.0
7304.0,110.0
7366.0,59.0
7387.0,48.0
7263.0,177.0
7284.0,162.0
7407.0,48.0
7428.0,43.0
7448.0,128.0
7510.0,82.0
7469.0,129.0
7489.0,109.0
7531.0,67.0
7551.0,52.0
7572.0,45.0
7592.0,42.0
7613.0,142.0
7654.0,118.0
7675.0,97.0
7716.0,59.0
7633.0,145.0
7695.0,84.0
7736.0,50.0
7757.0,46.0
7777.0,49.0
7798.0,135.0
7839.0,115.0
7860.0,94.0
7819.0,137.0
7880.0,76.0
8065.0,72.0
8045.0,95.0
8086.0,54.0
8004.0,137.0
8024.0,119.0
8107.0,44.0
7901.0,257.0
7942.0,222.0
7963.0,205.0
8127.0,47.0
7983.0,193.0
8168.0,126.0
8148.0,149.0
8230.0,79.0
8189.0,123.0
8209.0,106.0
8251.0,66.0
8271.0,48.0
8292.0,42.0
8312.0,45.0
8333.0,142.0
8374.0,116.0
8395.0,97.0
8353.0,143.0
8415.0,81.0
8436.0,63.0
8456.0,45.0
8477.0,39.0
8518.0,137.0
8497.0,162.0
8539.0,134.0
8559.0,115.0
8662.0,43.0
8765.0,87.0
8785.0,70.0
8744.0,112.0
8806.0,54.0
8580.0,296.0
8827.0,52.0
8600.0,282.0
8621.0,267.0
8683.0,207.0
8847.0,47.0
8703.0,192.0
8868.0,44.0
8909.0,121.0
8929.0,105.0
8888.0,147.0
8971.0,67.0
8991.0,47.0
8950.0,91.0
9012.0,44.0
8724.0,334.0
9032.0,52.0
9053.0,144.0
9135.0,80.0
9094.0,122.0
9115.0,102.0
9156.0,61.0
9073.0,146.0
9176.0,50.0
9197.0,50.0
9238.0,138.0
9259.0,135.0
9300.0,94.0
9320.0,76.0
9341.0,55.0
9279.0,120.0
9361.0,47.0
9217.0,204.0
9382.0,42.0
9403.0,42.0
9423.0,132.0
9485.0,86.0
9464.0,109.0
9444.0,132.0
9526.0,53.0
9505.0,75.0
9547.0,41.0
9567.0,44.0
9588.0,148.0
9649.0,105.0
9670.0,84.0
9629.0,130.0
9608.0,153.0
9691.0,71.0
9732.0,54.0
9855.0,74.0
9835.0,96.0
9876.0,61.0
9896.0,47.0
9711.0,246.0
9752.0,209.0
9773.0,194.0
9917.0,53.0
9793.0,178.0
9937.0,51.0
9958.0,139.0
9999.0,112.0
9979.0,135.0
10040.0,74.0
10020.0,96.0
10061.0,56.0
10081.0,47.0
9814.0,323.0
10102.0,51.0
10123.0,153.0
10143.0,135.0
10225.0,75.0
10246.0,54.0
10164.0,155.0
10308.0,146.0
10328.0,128.0
10369.0,101.0
10349.0,128.0
10390.0,87.0
10411.0,68.0
10431.0,50.0
10184.0,312.0
10452.0,44.0
10205.0,298.0
10267.0,241.0
10287.0,228.0
10472.0,44.0
10493.0,143.0
10555.0,98.0
10513.0,141.0
10575.0,80.0
10616.0,41.0
10596.0,63.0
10534.0,126.0
10699.0,134.0
10719.0,115.0
10740.0,97.0
10760.0,77.0
10781.0,60.0
10801.0,40.0
10804.0,46.0
10801.0,51.0
10807.0,46.0
10809.0,45.0
10803.0,52.0
10806.0,49.0
10637.0,220.0
10657.0,203.0
10820.0,40.0
10813.0,49.0
10678.0,189.0
10823.0,44.0
10819.0,50.0
10825.0,45.0
10826.0,47.0
10830.0,48.0
10832.0,46.0
10836.0,51.0
10839.0,48.0
10843.0,47.0
10835.0,58.0
10848.0,146.0
10842.0,154.0
10845.0,151.0
10851.0,146.0
10856.0,143.0
10846.0,155.0
10862.0,139.0
10861.0,141.0
10855.0,149.0
10864.0,140.0
10871.0,144.0
10882.0,135.0
10874.0,144.0
10867.0,153.0
10868.0,152.0
10872.0,150.0
10880.0,142.0
10891.0,133.0
10890.0,135.0
10875.0,152.0
10884.0,144.0
10878.0,151.0
10900.0,129.0
10893.0,137.0
10888.0,143.0
10897.0,137.0
10898.0,136.0
10906.0,129.0
10911.0,125.0
10903.0,135.0
10910.0,128.0
10913.0,128.0
10901.0,141.0
10929.0,114.0
10920.0,124.0
10904.0,142.0
10916.0,130.0
10936.0,113.0
10950.0,99.0
10923.0,128.0
10927.0,124.0
10921.0,134.0
10930.0,125.0
10969.0,86.0
10926.0,131.0
10958.0,99.0
10937.0,121.0
10965.0,94.0
10942.0,118.0
10932.0,129.0
10949.0,115.0
10973.0,91.0
10947.0,119.0
10940.0,127.0
10952.0,115.0
10959.0,110.0
10963.0,106.0
10981.0,88.0
10989.0,83.0
10943.0,130.0
10962.0,214.0
10972.0,204.0
10982.0,195.0
10985.0,193.0
10953.0,226.0
10956.0,224.0
10968.0,212.0
10984.0,196.0
10971.0,211.0
10991.0,192.0
11011.0,172.0
10976.0,209.0
11017.0,169.0
11023.0,163.0
10997.0,190.0
11001.0,188.0
11028.0,161.0
10995.0,196.0
11047.0,148.0
11066.0,133.0
11095.0,104.0
11099.0,102.0
11102.0,101.0
11111.0,96.0
11115.0,92.0
11117.0,93.0
11122.0,91.0
11127.0,86.0
11002.0,213.0
11130.0,85.0
11114.0,102.0
11108.0,110.0
11138.0,81.0
11007.0,213.0
11131.0,90.0
11134.0,88.0
11140.0,83.0
11141.0,83.0
11144.0,81.0
11148.0,79.0
11010.0,218.0
11143.0,85.0
11150.0,79.0
11014.0,216.0
11147.0,83.0
11154.0,77.0
11153.0,79.0
11157.0,77.0
11161.0,73.0
11020.0,215.0
11156.0,81.0
11160.0,77.0
11163.0,76.0
11164.0,78.0
11171.0,73.0
11174.0,72.0
11169.0,80.0
11177.0,74.0
11176.0,76.0
11182.0,70.0
11179.0,75.0
11184.0,70.0
11190.0,64.0
11193.0,162.0
11189.0,167.0
11186.0,171.0
11192.0,168.0
11196.0,164.0
11197.0,163.0
11202.0,160.0
11200.0,163.0
11219.0,144.0
11205.0,160.0
11206.0,159.0
11208.0,157.0
11213.0,154.0
11209.0,159.0
11215.0,155.0
11216.0,156.0
11212.0,163.0
11222.0,154.0
11225.0,152.0
11228.0,150.0
11229.0,151.0
11234.0,146.0
11236.0,145.0
11231.0,152.0
11241.0,142.0
11245.0,141.0
11242.0,147.0
11221.0,169.0
11247.0,143.0
11252.0,139.0
11255.0,140.0
11044.0,353.0
11260.0,137.0
11248.0,150.0
11267.0,131.0
11251.0,149.0
11018.0,384.0
11264.0,138.0
11254.0,149.0
11271.0,134.0
11257.0,149.0
11027.0,380.0
11274.0,133.0
11265.0,143.0
11270.0,138.0
11273.0,138.0
11036.0,376.0
11278.0,134.0
11287.0,127.0
11277.0,140.0
11301.0,116.0
11286.0,134.0
11290.0,130.0
11281.0,141.0
11346.0,76.0
11291.0,133.0
11293.0,131.0
11325.0,99.0
11294.0,132.0
11296.0,131.0
11297.0,130.0
11303.0,126.0
11312.0,118.0
11307.0,125.0
11320.0,114.0
11309.0,127.0
11314.0,221.0
11306.0,232.0
11369.0,170.0
11313.0,227.0
11316.0,225.0
11333.0,209.0
11319.0,224.0
11322.0,221.0
11372.0,172.0
11326.0,219.0
11338.0,207.0
11382.0,164.0
11351.0,197.0
11358.0,190.0
11395.0,153.0
11330.0,220.0
11365.0,185.0
11359.0,193.0
11335.0,219.0
11345.0,214.0
11387.0,173.0
11342.0,219.0
11403.0,158.0
11388.0,175.0
11410.0,154.0
11355.0,210.0
11390.0,176.0
11364.0,203.0
11414.0,153.0
11406.0,162.0
11417.0,154.0
11423.0,148.0
11413.0,159.0
11419.0,154.0
11033.0,541.0
11427.0,147.0
11368.0,207.0
11375.0,201.0
11430.0,147.0
11391.0,187.0
11433.0,147.0
11408.0,173.0
11439.0,142.0
11442.0,140.0
11041.0,542.0
11429.0,154.0
11046.0,539.0
11432.0,154.0
11446.0,140.0
11443.0,145.0
11447.0,142.0
11076.0,514.0
11456.0,134.0
11440.0,151.0
11434.0,159.0
11453.0,140.0
11452.0,143.0
11437.0,160.0
11469.0,130.0
11465.0,135.0
