step_time,reward,total_stopped,total_wait_time,gneJ00_passed,gneJ9_passed
1533.0,0,25,655.0,578,543
1537.0,0,24,676.0,578,543
1541.0,0,29,760.0,580,543
1545.0,0,30,727.0,580,543
1549.0,0,29,758.0,580,545
1553.0,0,28,750.0,580,547
1557.0,0,27,771.0,582,549
1561.0,0,27,754.0,586,550
1565.0,0,25,792.0,588,550
1569.0,0,22,809.0,590,550
1573.0,0,25,834.0,593,550
1577.0,0,22,823.0,596,551
1581.0,0,23,851.0,599,552
1585.0,0,25,932.0,602,554
1589.0,0,26,1051.0,605,555
1593.0,0,21,986.0,607,556
1597.0,0,17,927.0,609,559
1601.0,0,15,897.0,610,561
1605.0,0,14,836.0,612,564
1609.0,0,9,804.0,613,567
1613.0,0,9,660.0,615,570
1617.0,0,11,613.0,616,573
1621.0,0,14,573.0,618,575
1625.0,0,11,443.0,619,576
1629.0,0,12,394.0,621,579
1633.0,0,12,404.0,623,580
1637.0,0,14,456.0,625,583
1641.0,0,17,516.0,625,584
1645.0,0,20,587.0,627,585
1649.0,0,20,670.0,627,586
1653.0,0,26,763.0,627,586
1657.0,0,28,741.0,628,586
1661.0,0,30,861.0,629,586
1665.0,0,29,833.0,630,586
1669.0,0,29,821.0,630,589
1673.0,0,28,844.0,632,592
1677.0,0,27,822.0,634,593
1681.0,0,25,764.0,636,594
1685.0,0,25,785.0,639,594
1689.0,0,23,801.0,641,594
1693.0,0,23,867.0,645,594
1697.0,0,22,846.0,647,595
1701.0,0,23,841.0,651,596
1705.0,0,23,918.0,653,598
1709.0,0,21,895.0,655,599
1713.0,0,17,820.0,656,601
1717.0,0,12,801.0,658,604
1721.0,0,12,698.0,659,607
1725.0,0,11,616.0,660,609
1729.0,0,8,538.0,661,612
1733.0,0,7,508.0,663,615
1737.0,0,7,465.0,664,617
1741.0,0,10,469.0,665,620
1745.0,0,6,308.0,667,622
1749.0,0,10,316.0,669,624
1753.0,0,12,351.0,670,626
1757.0,0,14,394.0,671,628
1761.0,0,17,451.0,671,630
1765.0,0,19,520.0,671,632
1769.0,0,24,610.0,672,633
1773.0,0,25,680.0,672,633
1777.0,0,30,781.0,674,633
1781.0,0,30,837.0,675,633
1785.0,0,32,834.0,675,635
1789.0,0,29,832.0,675,637
1793.0,0,26,842.0,678,639
1797.0,0,29,779.0,681,640
1801.0,0,27,808.0,684,640
1805.0,0,25,854.0,687,640
1809.0,0,25,839.0,690,640
1813.0,0,20,800.0,692,641
1817.0,0,21,831.0,695,643
1821.0,0,21,885.0,698,644
1825.0,0,25,952.0,701,644
1829.0,0,19,797.0,703,646
1833.0,0,15,803.0,705,648
1837.0,0,12,729.0,706,651
1841.0,0,13,669.0,708,653
1845.0,0,8,487.0,709,656
1849.0,0,7,376.0,711,659
1853.0,0,8,371.0,712,662
1857.0,0,10,369.0,713,665
1861.0,0,8,259.0,713,666
1865.0,0,10,260.0,715,669
1869.0,0,12,259.0,717,671
1873.0,0,15,312.0,719,672
1877.0,0,17,374.0,719,673
1881.0,0,17,441.0,719,676
1885.0,0,20,518.0,719,677
1889.0,0,22,533.0,720,677
1893.0,0,27,615.0,721,677
1897.0,0,31,732.0,722,677
1901.0,0,31,718.0,722,677
1905.0,0,31,735.0,722,679
1909.0,0,28,692.0,724,682
1913.0,0,28,732.0,726,683
1917.0,0,23,745.0,730,684
1921.0,0,21,719.0,732,684
1925.0,0,25,785.0,736,684
1929.0,0,22,770.0,738,684
1933.0,0,22,760.0,740,686
1937.0,0,23,803.0,743,687
1941.0,0,24,890.0,746,688
1945.0,0,21,896.0,749,688
1949.0,0,16,779.0,750,691
1953.0,0,17,805.0,751,693
1957.0,0,14,700.0,753,695
1961.0,0,12,660.0,755,699
1965.0,0,8,466.0,755,702
1969.0,0,8,370.0,758,705
1973.0,0,10,377.0,760,708
1977.0,0,13,420.0,760,710
1981.0,0,10,326.0,761,712
1985.0,0,12,290.0,765,714
1989.0,0,15,339.0,767,716
1993.0,0,17,397.0,767,717
1997.0,0,20,469.0,767,718
2001.0,0,21,547.0,767,721
2005.0,0,24,638.0,768,721
2009.0,0,28,676.0,769,721
2013.0,0,32,757.0,770,721
2017.0,0,32,803.0,771,721
2021.0,0,33,783.0,772,723
2025.0,0,29,792.0,772,726
2029.0,0,27,791.0,775,727
2033.0,0,26,822.0,777,727
2037.0,0,23,797.0,780,727
2041.0,0,22,824.0,783,728
2045.0,0,24,825.0,786,729
2049.0,0,21,751.0,790,731
2053.0,0,21,734.0,792,732
2057.0,0,21,768.0,794,733
2061.0,0,21,807.0,798,734
2065.0,0,16,778.0,799,734
2069.0,0,16,686.0,801,737
2073.0,0,13,628.0,802,740
2077.0,0,12,539.0,803,742
