step_time,step_stopped,step_wait_time,accumulated_wait_time
525.0,0,11.0,4061.0
526.0,0,11.0,4072.0
527.0,0,11.0,4083.0
528.0,0,11.0,4094.0
529.0,0,11.0,4105.0
530.0,0,11.0,4116.0
531.0,0,11.0,4127.0
532.0,1,12.0,4139.0
533.0,1,13.0,4152.0
534.0,0,13.0,4165.0
535.0,0,13.0,4178.0
536.0,0,13.0,4191.0
537.0,1,14.0,4205.0
538.0,0,14.0,4219.0
539.0,0,14.0,4233.0
540.0,0,14.0,4247.0
541.0,1,15.0,4262.0
542.0,1,16.0,4278.0
543.0,0,16.0,4294.0
544.0,0,11.0,4305.0
545.0,1,9.0,4314.0
546.0,0,8.0,4322.0
547.0,0,7.0,4329.0
548.0,0,7.0,4336.0
549.0,0,7.0,4343.0
550.0,0,7.0,4350.0
551.0,1,8.0,4358.0
552.0,1,9.0,4367.0
553.0,0,9.0,4376.0
554.0,1,10.0,4386.0
555.0,0,10.0,4396.0
556.0,0,10.0,4406.0
557.0,0,10.0,4416.0
558.0,0,10.0,4426.0
559.0,0,10.0,4436.0
560.0,0,9.0,4445.0
561.0,0,9.0,4454.0
562.0,0,9.0,4463.0
563.0,0,9.0,4472.0
564.0,0,9.0,4481.0
565.0,0,9.0,4490.0
566.0,0,9.0,4499.0
567.0,0,8.0,4507.0
568.0,0,7.0,4514.0
569.0,0,6.0,4520.0
570.0,0,6.0,4526.0
571.0,0,6.0,4532.0
572.0,0,6.0,4538.0
573.0,0,6.0,4544.0
574.0,0,6.0,4550.0
575.0,0,6.0,4556.0
576.0,0,6.0,4562.0
577.0,0,6.0,4568.0
578.0,0,6.0,4574.0
579.0,0,6.0,4580.0
580.0,0,6.0,4586.0
581.0,1,7.0,4593.0
582.0,0,6.0,4599.0
583.0,0,6.0,4605.0
584.0,0,6.0,4611.0
585.0,0,6.0,4617.0
586.0,0,4.0,4621.0
587.0,0,3.0,4624.0
588.0,0,3.0,4627.0
589.0,0,3.0,4630.0
590.0,0,3.0,4633.0
591.0,0,3.0,4636.0
592.0,0,3.0,4639.0
593.0,0,3.0,4642.0
594.0,0,3.0,4645.0
595.0,0,3.0,4648.0
596.0,0,3.0,4651.0
597.0,1,4.0,4655.0
598.0,0,4.0,4659.0
599.0,0,4.0,4663.0
600.0,0,4.0,4667.0
601.0,0,4.0,4671.0
602.0,0,4.0,4675.0
603.0,0,4.0,4679.0
604.0,0,4.0,4683.0
605.0,0,4.0,4687.0
606.0,0,4.0,4691.0
607.0,1,5.0,4696.0
608.0,0,5.0,4701.0
609.0,0,5.0,4706.0
610.0,1,6.0,4712.0
611.0,0,5.0,4717.0
612.0,1,6.0,4723.0
613.0,0,6.0,4729.0
614.0,0,6.0,4735.0
615.0,0,6.0,4741.0
616.0,0,6.0,4747.0
617.0,0,6.0,4753.0
618.0,0,6.0,4759.0
619.0,0,4.0,4763.0
620.0,0,4.0,4767.0
621.0,0,4.0,4771.0
622.0,0,4.0,4775.0
623.0,0,4.0,4779.0
624.0,0,4.0,4783.0
625.0,1,5.0,4788.0
626.0,0,5.0,4793.0
627.0,0,5.0,4798.0
628.0,0,5.0,4803.0
629.0,0,5.0,4808.0
630.0,0,4.0,4812.0
631.0,1,5.0,4817.0
632.0,0,5.0,4822.0
633.0,0,4.0,4826.0
634.0,1,5.0,4831.0
635.0,0,4.0,4835.0
636.0,0,4.0,4839.0
637.0,0,4.0,4843.0
638.0,1,5.0,4848.0
639.0,0,5.0,4853.0
640.0,3,8.0,4861.0
641.0,0,8.0,4869.0
642.0,0,8.0,4877.0
643.0,0,8.0,4885.0
644.0,1,9.0,4894.0
645.0,0,9.0,4903.0
646.0,0,9.0,4912.0
647.0,0,9.0,4921.0
648.0,1,10.0,4931.0
649.0,0,9.0,4940.0
650.0,0,9.0,4949.0
651.0,1,10.0,4959.0
652.0,0,10.0,4969.0
653.0,0,10.0,4979.0
654.0,1,11.0,4990.0
655.0,0,11.0,5001.0
656.0,0,11.0,5012.0
657.0,0,11.0,5023.0
658.0,1,12.0,5035.0
659.0,1,12.0,5047.0
660.0,2,14.0,5061.0
661.0,0,14.0,5075.0
662.0,0,14.0,5089.0
663.0,1,15.0,5104.0
664.0,0,15.0,5119.0
665.0,0,15.0,5134.0
666.0,1,16.0,5150.0
667.0,0,16.0,5166.0
668.0,0,16.0,5182.0
669.0,0,16.0,5198.0
670.0,1,17.0,5215.0
671.0,0,17.0,5232.0
672.0,1,18.0,5250.0
